Designator	Quantity	Type	Part number/value	Price/part	Price (total)
C1,C2,C3	3	1206 SMD Ceramic capacitor	100nF	0,008 €	0,024 €
C4	1	6032 SMD Tantalum capacitor	22µF, 25V	0,010 €	0,010 €
D1	1	5mm Bi-Color LED	red/green	0,020 €	0,020 €
PROG	1	SMD male 1.25mm JST connector	8P	0,093 €	0,093 €
R1,R2,R7,R8	4	1206 SMD resistor	10k?, 1%	0,003 €	0,012 €
R5,R6	2	1206 SMD resistor	2.2k?, 1%	0,003 €	0,006 €
R3	1	1206 SMD resistor	300?, 1%	0,003 €	0,003 €
R4	1	1206 SMD resistor	500?, 1%	0,003 €	0,003 €
S1,S2	2	Tactile button	8mm	0,018 €	0,036 €
P1	1	Female header	5P	0,012 €	0,012 €
U1	1	Microcontroller	ATmega 328p-AU	1,088 €	1,090 €
U2	1	RF module	RFM69HW 868MHz	1,670 €	1,670 €
U3	1	Voltage regulator	AMS1117-3.3	0,028 €	0,028 €
-	2	Self-tapping screw	M2.3 x 5mm	0,031 €	0,062 €
-	1	PCB	25x50mm	0,314 €	0,314 €
-	1	3D printed case	45.8g PLA filament	0,920 €	0,920 €
				Total:	4,30 €
